chunk_id,priority,category,title,article,source,src_title,page_content
부동산등기법(법률)(제20435호)(20250131)_000,5,['기타'],부동산등기법 부동산 등기 관련 법률,,부동산등기법(법률)(제20435호)(20250131).docx,부동산등기법(법률)(제20435호)(20250131),부동산등기법
부동산등기법(법률)(제20435호)(20250131)_001,5,"['보증금_대항력', '손해배상_책임', '계약갱신', '계약해지_명도']",제72조 전세권 등기사항 기록 의무,"48조, 72조, 78조, 306조",부동산등기법(법률)(제20435호)(20250131).docx,부동산등기법(법률)(제20435호)(20250131),"제72조 (전세권 등의 등기사항) ① 등기관이 전세권설정이나 전전세(轉傳貰)의 등기를 할 때에는 제48조에서 규정한 사항 외에 다음 각 호의 사항을 기록하여야 한다. 다만, 제3호부터 제5호까지는 등기원인에 그 약정이 있는 경우에만 기록한다.

1. 전세금 또는 전전세금

2. 범위

3. 존속기간

4. 위약금 또는 배상금

5. 「민법」 제306조 단서의 약정

6. 전세권설정이나 전전세의 범위가 부동산의 일부인 경우에는 그 부분을 표시한 도면의 번호

② 여러 개의 부동산에 관한 권리를 목적으로 하는 전세권설정의 등기를 하는 경우에는 제78조를 준용한다."
부동산등기법(법률)(제20435호)(20250131)_002,5,"['임대료_증감', '보증금_대항력', '계약갱신', '계약해지_명도']",제74조 임차권 등기사항 기록요령,"48조, 74조, 619조",부동산등기법(법률)(제20435호)(20250131).docx,부동산등기법(법률)(제20435호)(20250131),"제74조 (임차권 등의 등기사항) 등기관이 임차권 설정 또는 임차물 전대(轉貸)의 등기를 할 때에는 제48조에서 규정한 사항 외에 다음 각 호의 사항을 기록하여야 한다. 다만, 제3호부터 제6호까지는 등기원인에 그 사항이 있는 경우에만 기록한다. <개정 2020. 2. 4.>

1. 차임(借賃)

2. 범위

3. 차임지급시기

4. 존속기간. 다만, 처분능력 또는 처분권한 없는 임대인에 의한 「민법」 제619조의 단기임대차인 경우에는 그 뜻도 기록한다.

5. 임차보증금

6. 임차권의 양도 또는 임차물의 전대에 대한 임대인의 동의

7. 임차권설정 또는 임차물전대의 범위가 부동산의 일부인 때에는 그 부분을 표시한 도면의 번호

법제처



 

국가법령정보센터"
